0, FF0040
1, FF0030
2, FF0020
3, FF0010
4, FF0000
5, FF0a00
6, FF1400
7, FF1e00
8, FF2800
9, FF3200
10, FF3c00
11, FF4600
12, FF5000
13, FF5a00
14, FF6400
15, FF6e00
16, FF7800
17, FF8200
18, FF8c00
19, FF9600
20, FFa000
21, FFaa00
22, FFb400
23, FFbe00
24, FFc800
25, FFd200
26, FFdc00
27, FFe600
28, FFf000
29, FFfa00
30, fdff00
31, d7ff00
32, b0ff00
33, 8aff00
34, 65ff00
35, 3eff00
36, 17ff00
37, 00ff10
38, 00ff36
39, 00ff5c
40, 00ff83
41, 00ffa8
42, 00ffd0
43, 00fff4
44, 00e4ff
45, 00d4ff
46, 00c4ff
47, 00b4ff
48, 00a4ff
49, 0094ff
50, 0084ff
51, 0074ff
52, 0064ff
53, 0054ff
54, 0044ff
55, 0032ff
56, 0022ff
57, 0012ff
58, 0002ff
59, 0000ff
60, 0100ff
61, 0200ff
62, 0300ff
63, 0400ff
64, 0500ff
