,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
34778,ro,zabala,45.9,26.183332999999998,279.994,68.0,0.0,1.16
34479,ro,tia mare,43.866667,24.633333,282.344,100.0,0.0,0.96
31084,pl,dzierzoniow,50.732045,16.648718,280.15,75.0,40.0,9.3
24266,mx,panaba,21.283333,-88.266667,297.555,67.0,8.0,3.62
17127,in,barddhaman,23.240555999999998,87.869444,310.305,31.0,0.0,2.47
26982,ph,alegria,8.506667,126.011944,303.155,58.0,8.0,5.02
45516,us,athens,35.4427778,-84.5930556,290.0,72.0,75.0,5.1
46534,yt,mtsamboro,-12.696666699999998,45.0666667,304.15,74.0,40.0,3.1
25727,nl,weert,51.250562,5.717901,278.15,93.0,75.0,3.1
9515,de,reiskirchen,50.6,8.833333,276.84,100.0,40.0,4.1
32954,ro,dragodana,44.733333,25.35,277.15,93.0,90.0,1.5
38920,ru,vinogradnyy,45.056096999999994,37.321252,280.15,93.0,40.0,9.0
1003,az,nardaran,40.556111,50.005556,284.15,81.0,75.0,3.6
7524,co,villa del rosario,7.833889,-72.47416700000001,290.38,100.0,80.0,0.77
37495,ru,orlovskiy,46.871389,42.059166999999995,278.505,100.0,92.0,6.87
31894,py,caacupe,-25.383333,-57.15,294.15,100.0,12.0,1.06
30300,ph,tabo-o,8.334,123.8547,300.955,73.0,0.0,1.87
17802,in,gurgaon,28.466666999999998,77.033333,309.15,19.0,0.0,5.1
1784,be,tintigny,49.683333000000005,5.516667,277.15,86.0,40.0,4.1
22777,mg,ambositra,-20.5166667,47.25,294.83,71.0,0.0,2.17
24314,mx,plateros,23.216667,-102.85,281.419,49.0,0.0,3.01
6860,co,florencia,1.614382,-75.606229,290.344,96.0,44.0,0.76
6031,cn,huangmei,30.192346999999998,116.02495900000001,297.055,66.0,0.0,2.12
38343,ru,starokorsunskaya,45.057271,39.316109000000004,281.15,87.0,20.0,4.0
44091,us,northview,43.04555560000001,-85.60055559999999,278.76,93.0,90.0,1.5
20790,it,poirino,44.916667,7.85,281.87,87.0,75.0,0.5
46662,za,port alfred,-33.590571999999995,26.891037,295.394,89.0,92.0,2.86
42418,us,menlo park,37.453888899999995,-122.18111110000001,288.14,87.0,1.0,1.82
29695,ph,sagay,10.9427,123.4239,300.955,85.0,20.0,4.82
33333,ro,izbiceni,43.833333,24.65,282.344,100.0,0.0,0.96
38911,ru,veydelevka,50.1521,38.4492,270.605,99.0,20.0,4.97
10381,ec,sangolqui,-0.31666669999999997,-78.45,284.15,93.0,40.0,2.1
28943,ph,malitbog,12.75212,121.465915,296.755,89.0,88.0,0.17
40243,th,phetchabun,16.443306,101.14752800000001,301.805,69.0,8.0,1.17
40961,tz,mabamba,-3.5983332999999997,30.501944399999996,294.219,94.0,88.0,1.16
9419,de,ohringen,49.201667,9.503889,277.23,100.0,90.0,5.1
43128,us,thomasville,30.836388899999996,-83.97888890000002,286.35,93.0,75.0,2.41
16790,il,qiryat motzkin,32.836389000000004,35.075278000000004,291.59,59.0,40.0,5.1
15863,hu,nyirtelek,48.016667,21.633333,281.15,61.0,0.0,4.6
10511,ee,puunsi,59.5508333,24.7958333,272.15,80.0,75.0,2.1
32850,ro,cuzdrioara,47.166667,23.916667,278.15,80.0,80.0,6.2
4749,ca,logan lake,50.48,-120.81,278.31,51.0,40.0,1.5
24934,mx,zaragoza,19.145833,-99.647222,286.41,70.0,5.0,1.21
14060,gr,palaifiton,40.7816667,22.2661111,281.85,62.0,0.0,1.5
29391,ph,pangascasan,16.116914,120.08663700000001,302.005,78.0,0.0,4.57
20934,it,san remo,43.816666999999995,7.766667,283.64,81.0,0.0,1.5
24433,mx,san jose de gracia,20.666667,-102.583333,285.605,80.0,0.0,1.22
3081,br,itabuna,-14.8,-39.266667,297.005,100.0,44.0,2.17
36217,ru,kastornoye,51.8334,38.1302,267.319,94.0,0.0,4.01
23149,mu,cascavelle,-20.2869444,57.40722220000001,302.15,70.0,40.0,3.6
43478,us,schererville,41.478888899999994,-87.4547222,280.65,93.0,90.0,2.17
30966,pk,sharqpur,31.463333000000002,74.1,306.15,21.0,0.0,8.2
24115,mx,metlaltoyuca,20.666667,-97.81666700000001,295.255,75.0,20.0,1.07
32134,ro,apostolache,45.133333,26.266666999999998,277.15,93.0,90.0,1.5
976,az,ceyranbatan,40.540833,49.659721999999995,284.15,81.0,75.0,3.6
35148,ru,amderma,69.7576,61.6655,254.644,79.0,36.0,2.11
34089,ro,sageata,45.1,26.983333000000002,281.344,100.0,8.0,1.21
23341,mx,altamira,22.4,-97.916667,297.63,95.0,44.0,2.22
4633,ca,goderich,43.733333,-81.7,272.105,79.0,68.0,1.47
12268,gb,ayr,55.45,-4.616667,273.83,86.0,20.0,1.5
16435,id,parung,-6.3276,106.9715,305.15,59.0,20.0,4.1
35898,ru,golubitskaya,45.322222,37.282222,280.15,93.0,40.0,9.0
41749,ua,stari bohorodchany,48.833607,24.524297,274.15,100.0,75.0,3.0
30148,ph,san vicente,15.295460999999998,120.64653100000001,302.15,66.0,75.0,4.1
19455,in,sirsi,14.616667000000001,74.85,306.58,50.0,0.0,3.77
1727,be,rendeux,50.233333,5.5,275.45,93.0,40.0,5.7
25878,no,holmestrand,59.488333,10.302778,268.71,67.0,0.0,4.6
10336,ec,latacunga,-0.9333333,-78.6166667,284.15,93.0,40.0,2.1
16173,id,ambon,-3.6954260000000003,128.181405,301.644,95.0,8.0,3.56
32493,ro,bujoru,43.716667,25.566667000000002,279.15,81.0,0.0,1.5
27443,ph,binday,16.1271,120.4525,297.594,75.0,48.0,1.96
7027,co,lourdes,7.944111,-72.83253,290.38,100.0,80.0,0.77
18111,in,kangayam,11.0,77.56666700000001,307.15,44.0,40.0,2.6
19426,in,silchar,24.816667000000002,92.8,302.005,62.0,36.0,1.72
20196,it,campagna,40.666667,15.116667000000001,286.15,82.0,75.0,1.5
19397,in,shirwal,18.133333,73.983333,306.88,29.0,68.0,1.97
13346,gr,akharnai,38.0833333,23.7333333,286.11,38.0,20.0,4.6
28846,ph,magdiwang,12.491032,122.513512,307.15,49.0,20.0,2.1
44492,us,bellmawr,39.8675,-75.095,281.08,100.0,90.0,3.66
31127,pl,jozefow,51.806452,21.220953,274.15,96.0,75.0,6.2
19038,in,poladpur,17.983333,83.466667,307.88,47.0,32.0,5.72
20652,it,montegranaro,43.233333,13.633332999999999,286.15,66.0,0.0,2.1
