,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
41534,ua,nova ushytsya,48.837157,27.274337,275.868,96.0,92.0,3.15
5248,cg,loandjili,-4.7561111,11.857777800000001,299.15,94.0,40.0,1.0
22962,ml,kolondieba,11.083333300000001,-6.9,301.043,48.0,0.0,3.9
35191,ru,arkhangelskoye,44.613889,44.089444,276.618,100.0,92.0,4.35
40160,th,kathu,7.909028,98.33319499999999,301.15,78.0,20.0,2.65
17375,in,chanasma,23.716667,72.116667,294.518,39.0,0.0,1.15
39901,sv,ayutuxtepeque,13.745555599999998,-89.20638890000001,300.2,57.0,20.0,3.1
38634,ru,tuim,54.341667,89.92611099999999,266.768,57.0,12.0,3.55
5197,cd,uvira,-3.4066669999999997,29.145833000000003,295.15,88.0,40.0,0.4
44384,us,elko,40.8325,-115.76222220000001,286.15,30.0,1.0,3.1
20087,it,arezzo,43.416667,11.883333,286.15,76.0,40.0,2.1
3669,br,pirapora do bom jesus,-23.4,-47.0,294.95,88.0,0.0,2.1
16889,in,alwar tirunagari,8.6,77.95,298.343,89.0,8.0,3.05
4602,ca,esterhazy,50.65,-102.083333,259.443,73.0,0.0,5.35
41634,ua,porohy,48.687554,24.263219,275.793,99.0,92.0,1.25
29633,ph,ragay,13.8183,122.7923,298.493,90.0,64.0,3.85
27586,ph,buluan,6.7202779999999995,124.80194399999999,300.843,68.0,0.0,1.75
17205,in,betma,22.683332999999998,75.616667,296.15,23.0,0.0,3.1
7355,co,santa maria,4.860483,-73.262338,291.443,94.0,36.0,0.5
39170,ru,zabolotovka,50.273679,39.314696000000005,267.493,93.0,88.0,3.85
30273,ph,sumpong,8.163333,125.118333,296.593,74.0,12.0,1.5
42650,us,durango,37.2752778,-107.87944440000001,286.19,20.0,1.0,8.2
25202,ne,madaoua,14.075833300000001,5.9586111,296.193,21.0,0.0,4.7
45593,us,balch springs,32.7286111,-96.6225,290.69,67.0,1.0,2.6
32917,ro,dobrosloveni,44.183333000000005,24.366667,279.15,75.0,0.0,3.6
27666,ph,cabilauan,10.860999999999999,122.5734,298.368,88.0,0.0,1.8
45247,us,allentown,40.6083333,-75.4905556,284.05,87.0,90.0,4.1
23311,mx,ahome,25.916667,-109.183333,297.15,27.0,5.0,8.7
15241,hn,wampusirpi,15.183333300000001,-84.6166667,297.118,87.0,32.0,1.05
20207,it,canegrate,45.566666999999995,8.933333,282.95,93.0,75.0,1.0
11729,fr,le chesnay,48.822203,2.122129,278.15,93.0,0.0,3.1
11529,fr,colmar,48.078708,7.355401,275.65,93.0,0.0,1.1
8093,cz,lovosice,50.514231,14.052128,274.15,80.0,0.0,4.1
21309,jp,hamura,35.790721999999995,139.338888,286.56,24.0,1.0,8.2
33138,ro,ghiroda,45.763889,21.300278,282.65,93.0,0.0,4.1
12219,ga,tsogni,-2.8,10.166666699999999,300.443,100.0,76.0,1.65
29455,ph,patayac,15.963,120.4318,294.243,90.0,64.0,1.3
16085,hu,tiszafured,47.616667,20.766667,281.15,100.0,90.0,1.0
19338,in,sayla,22.55,71.466667,295.218,82.0,0.0,4.5
46162,us,waupun,43.6333333,-88.7294444,276.15,60.0,1.0,5.2
34990,rs,sajkas,45.272222,20.089722000000002,282.21,81.0,0.0,2.1
31308,pl,rogozno,52.75226,16.990493,275.15,80.0,0.0,3.1
14778,hn,baracoa,15.766666699999998,-87.85,302.45,74.0,20.0,4.1
15982,hu,solt,46.800674,18.999931,281.15,100.0,90.0,2.1
42318,us,foothill farms,38.6763889,-121.3352778,298.99,41.0,1.0,1.95
2352,br,aquiraz,-3.9,-38.366667,298.15,100.0,75.0,1.0
22058,ke,sotik,-0.6833333,35.1166667,282.268,91.0,24.0,1.7
35546,ru,bykov,47.316666999999995,142.55,275.15,64.0,40.0,3.0
29907,ph,san julian,11.753611,125.45583300000001,298.268,100.0,92.0,3.4
6721,co,chalan,9.54765,-75.311285,300.743,76.0,0.0,5.8
39794,sl,yengema,8.616666699999998,-11.05,300.268,67.0,32.0,4.75
12909,gb,saint combs,57.65,-1.9,276.15,100.0,90.0,6.2
18376,in,kunigal,13.022222,77.026667,296.15,88.0,8.0,2.6
37090,ru,moskovskiy,57.111079000000004,65.422978,260.15,55.0,0.0,4.0
26982,ph,alegria,8.506667,126.011944,299.693,82.0,0.0,2.9
31641,pt,lisbon,38.716667,-9.133333,283.65,87.0,40.0,2.1
36407,ru,kokino,52.4964,34.7808,259.293,62.0,12.0,2.3
27223,ph,balila,8.002778,125.013056,295.618,75.0,8.0,1.45
34071,ro,sabaoani,47.016667,26.85,279.64,100.0,75.0,5.7
20542,it,lipari,38.466667,14.95,287.15,82.0,20.0,5.1
42636,us,brighton,39.9852778,-104.82,275.26,93.0,90.0,2.1
39132,ru,yessentuki,44.044444,42.860556,276.15,93.0,90.0,5.0
43920,us,mansfield,42.033333299999995,-71.2194444,281.24,81.0,90.0,2.75
28631,ph,libertad,8.2755,123.8382,298.768,87.0,36.0,1.05
21518,jp,kosai,34.700528999999996,137.522525,286.15,50.0,20.0,9.3
36847,ru,lomonosov,59.906121,29.772528,264.15,92.0,0.0,3.9
38639,ru,tumannyy,68.884722,35.694444,267.468,88.0,44.0,2.75
28600,ph,laylay,13.4391,121.8202,297.868,100.0,68.0,4.0
16886,in,alot,23.766667,75.55,289.443,54.0,0.0,1.25
25740,nl,woudrichem,51.811966999999996,4.99719,279.43,81.0,90.0,4.6
13701,gr,kato kamila,41.0166667,23.4833333,274.618,82.0,0.0,1.35
28115,ph,dulig,16.00212,120.168636,299.093,95.0,12.0,2.4
35374,ru,bereznik,62.855142,42.707188,268.868,84.0,80.0,4.45
9810,de,wasserburg,48.066666999999995,12.233333,275.28,98.0,92.0,1.0
42722,us,newington,41.6977778,-72.7241667,281.24,93.0,90.0,3.1
14458,gt,cuilco,15.4,-91.966667,291.443,81.0,80.0,0.6
16293,id,jaten,-7.344444,110.8875,296.893,94.0,12.0,1.65
8562,de,baunatal,51.25,9.416667,275.09,92.0,75.0,1.0
30981,pk,sukkur,27.705164,68.857383,293.15,64.0,0.0,3.1
43691,us,kennebunk,43.383888899999995,-70.5452778,277.96,100.0,90.0,2.5
35266,ru,balakhonovskoye,44.7767,41.7842,274.15,100.0,90.0,6.0
29571,ph,progreso,13.9083,122.0906,298.043,100.0,20.0,3.45
20747,it,palo del colle,41.05,16.7,281.15,100.0,75.0,2.6
28407,ph,kabugao,18.021667,121.18416699999999,293.368,98.0,80.0,1.15
11055,es,tarrega,41.648983,1.1396,285.15,93.0,12.0,0.5
41917,ua,zhelyabovka,45.398773,34.75776,275.768,100.0,0.0,2.8
44566,us,maple shade,39.9525,-74.9927778,285.15,87.0,1.0,2.1
15197,hn,silca,14.833333300000001,-86.5333333,297.943,53.0,0.0,2.1
30893,pk,mithi,24.731826,69.798113,290.943,53.0,0.0,1.3
18516,in,malkangiri,18.35,81.9,292.693,90.0,36.0,1.3
45622,us,clute,29.024444399999997,-95.3986111,294.78,83.0,1.0,3.1
18038,in,jua,15.533332999999999,73.93333299999999,296.468,100.0,20.0,2.1
12709,gb,lerwick,60.15,-1.15,274.65,69.0,20.0,3.1
4137,br,timbauba,-7.516667,-35.316666999999995,297.15,88.0,90.0,3.6
24237,mx,ometepec,16.683332999999998,-98.416667,301.093,43.0,0.0,2.3
24324,mx,pozo de gamboa,22.95,-102.56666700000001,284.15,43.0,75.0,3.1
6008,cn,helong,42.539744,128.99722,275.843,49.0,0.0,1.35
41574,ua,olyka,50.718554,25.812507,277.243,100.0,92.0,2.5
9789,de,waiblingen,48.833333,9.3,274.15,92.0,0.0,0.5
41883,ua,yaremche,48.451569,24.554362,274.618,85.0,80.0,1.25
24131,mx,minatitlan,17.983333,-94.516667,302.15,58.0,20.0,5.1
7221,co,purificacion,3.8587050000000005,-74.931288,295.15,100.0,90.0,1.5
32701,ro,cobadin,44.083333,28.216666999999998,277.15,86.0,56.0,2.6
5804,cm,yagoua,10.3427778,15.240555599999999,295.843,60.0,0.0,1.45
18854,in,obra,24.416667,82.983333,288.893,58.0,0.0,1.2
40231,th,pattani,6.8749,101.254851,298.54,94.0,75.0,2.6
2187,bo,la belgica,-17.55,-63.216666700000005,299.15,69.0,56.0,1.5
24881,mx,xitla,16.316667000000002,-96.666667,301.15,74.0,5.0,1.1
36250,ru,kerva,55.61166899999999,39.576652,262.093,74.0,24.0,4.45
26953,ph,aguilar,15.8884,120.2378,297.693,94.0,0.0,1.3
34538,ro,tudor vladimirescu,45.216667,27.8,278.443,94.0,64.0,3.75
32449,ro,brestovat,45.872222,21.675556,280.72,93.0,0.0,4.1
39738,sl,bumbuna,9.05,-11.733333300000002,302.343,58.0,76.0,4.0
37278,ru,novaya zaimka,56.485715,66.924125,260.768,82.0,0.0,5.7
2314,br,alvinopolis,-20.1,-43.05,292.268,96.0,68.0,1.1
41796,ua,tsarychanka,48.936972999999995,34.478596,270.943,91.0,80.0,2.85
32949,ro,draganesti-olt,44.166667,24.533333,279.15,75.0,0.0,3.6
7858,cz,bucovice,49.150789,17.002631,277.05,93.0,0.0,2.1
21563,jp,mibu,36.416667,139.8,285.15,22.0,20.0,7.2
45294,us,king of prussia,40.0891667,-75.3963889,285.43,82.0,1.0,3.6
505,ar,necochea,-38.547259000000004,-58.736753,288.993,97.0,0.0,3.25
14868,hn,el nispero,14.766666699999998,-88.33333329999999,300.868,53.0,76.0,0.3
30168,ph,sasmuan,14.9438,120.6229,299.84,78.0,75.0,2.1
8481,de,aurich,53.466667,7.483333,273.15,93.0,20.0,3.1
17120,in,baramula,34.211110999999995,74.34083299999999,267.793,78.0,0.0,0.85
44831,us,poughkeepsie,41.7002778,-73.92138890000001,281.89,93.0,90.0,1.5
15190,hn,santa rosa de copan,14.766666699999998,-88.7833333,296.368,84.0,36.0,0.75
24865,mx,xadani,15.933333,-96.06666700000001,298.618,43.0,0.0,0.8
36829,ru,lisiy nos,60.016856000000004,30.020082000000002,264.15,92.0,0.0,3.9
6799,co,curillo,1.0332709999999998,-75.919065,292.693,96.0,92.0,0.8
18734,in,nakur,29.916666999999997,77.3,287.268,91.0,0.0,1.95
42332,us,glendora,34.1361111,-117.86444440000001,295.65,36.0,20.0,7.7
15081,hn,pueblo nuevo,14.383333300000002,-87.2833333,300.18,41.0,20.0,1.65
42681,us,sterling,40.625555600000006,-103.2072222,277.46,52.0,1.0,4.6
5351,ch,gerlafingen,47.169782,7.575050999999999,274.37,100.0,90.0,1.5
